ISSN	CategoryName
0091-0562	精神病学与心理学
0002-919X	社会科学总论
1062-3264	临床医学
0894-8275	临床医学
0193-1091	临床医学
0095-2990	社会科学总论
0002-9246	社会科学总论
0195-6744	社会科学总论
0735-6757	临床医学
0002-9254	农业科学
0002-9262	社会科学总论
1098-2140	社会科学总论
0192-6187	精神病学与心理学
0195-7910	临床医学
0002-9270	临床医学
1064-7481	精神病学与心理学
1945-7359	社会科学总论
0890-1171	社会科学总论
1079-2082	药理学和毒理学
0361-8609	临床医学
1042-0533	临床医学
0002-9297	分子生物学与遗传学
0895-7061	临床医学
0271-3586	社会科学总论
0196-6553	免疫学
0002-9300	社会科学总论
0272-6386	临床医学
0098-8588	社会科学总论
1088-0224	临床医学
0002-9327	数学
1552-4825	分子生物学与遗传学
1552-4841	分子生物学与遗传学
1552-4868	分子生物学与遗传学
1062-8606	临床医学
0002-9343	临床医学
0250-8095	临床医学
0195-6108	神经系统学与行为学
0002-936X	临床医学
0002-9378	临床医学
0272-9490	社会科学总论
0002-9394	临床医学
0889-5406	临床医学
0002-9432	精神病学与心理学
0196-0709	临床医学
0002-9440	临床医学
0735-1631	临床医学
0002-9459	药理学和毒理学
0002-9483	社会科学总论
0894-9115	临床医学
0002-9505	物理学
0363-6143	分子生物学与遗传学
0193-1849	生物学与生物化学
0193-1857	临床医学
0363-6135	临床医学
1040-0605	临床医学
0363-6119	生物学与生物化学
1931-857X	临床医学
0092-5853	社会科学总论
1099-209X	农业科学
0749-3797	社会科学总论
0275-2565	植物学与动物学
0002-953X	精神病学与心理学
0002-9556	精神病学与心理学
0090-0036	社会科学总论
1046-7408	免疫学
1073-449X	临床医学
1044-1549	生物学与生物化学
0361-803X	临床医学
0002-9599	地球科学
0002-9602	社会科学总论
1058-0360	社会科学总论
0363-5465	临床医学
0002-9610	临床医学
0147-5185	临床医学
0002-9629	临床医学
1075-2765	药理学和毒理学
1600-6135	临床医学
0002-9637	社会科学总论
0002-9645	植物学与动物学
1055-0496	社会科学总论
0044-7749	化学
0740-2783	植物学与动物学
0002-9890	数学
0003-0031	环境科学与生态学
0003-004X	地球科学
0003-0082	环境科学与生态学
0003-0147	环境科学与生态学
0003-0554	社会科学总论
1532-673X	社会科学总论
0003-066X	精神病学与心理学
0275-0740	社会科学总论
0003-0996	综合交叉学科
0003-1224	社会科学总论
0003-1283	社会科学总论
0003-1305	数学
0003-1348	临床医学
0939-4451	生物学与生物化学
0173-5373	植物学与动物学
1350-6129	临床医学
1075-9964	微生物学
0310-057X	临床医学
0003-2409	临床医学
0003-2417	临床医学
0365-0596	临床医学
0001-3765	综合交叉学科
1695-4033	临床医学
0211-1322	植物学与动物学
0925-1030	工程学
0003-2654	化学
0003-2670	化学
1618-2642	化学
0003-2697	生物学与生物化学
0003-2700	化学
0003-2719	化学
0910-6340	化学
0170-5334	临床医学
0939-2661	临床医学
0340-2096	植物学与动物学
1447-6959	生物学与生物化学
0303-4569	临床医学
0003-2999	临床医学
0003-3022	临床医学
1433-7851	化学
0969-6970	临床医学
0003-3197	临床医学
0003-3219	临床医学
0003-3472	植物学与动物学
1578-665X	环境科学与生态学
1570-7555	植物学与动物学
1049-5398	植物学与动物学
1435-9448	植物学与动物学
1367-9430	环境科学与生态学
0377-8401	植物学与动物学
0268-9146	植物学与动物学
1466-2523	植物学与动物学
0378-4320	植物学与动物学
1344-3941	植物学与动物学
0860-4037	农业科学
0962-7286	植物学与动物学
0003-3804	物理学
1239-629X	数学
0003-3847	植物学与动物学
0003-4266	生物学与生物化学
0003-3898	临床医学
0151-9638	临床医学
0373-0956	数学
0294-1449	数学
0246-0203	数学
0037-9271	植物学与动物学
0003-4088	环境科学与生态学
0753-3969	地球科学
0242-6498	临床医学
0992-7689	地球科学
1424-0637	物理学
0003-4487	神经系统学与行为学
0012-9593	数学
0208-9068	地球科学
0003-455X	植物学与动物学
0003-4541	植物学与动物学
0021-2571	社会科学总论
0391-173X	数学
0373-3114	数学
0304-4602	临床医学
1232-1966	环境科学与生态学
1081-1206	免疫学
0940-9602	生物学与生物化学
0003-4746	农业科学
1050-5164	数学
0883-6612	精神病学与心理学
0090-6964	分子生物学与遗传学
0305-7364	植物学与动物学
0097-4463	植物学与动物学
0091-7370	临床医学
0004-5632	临床医学
0736-9387	社会科学总论
0196-0644	临床医学
1047-2797	社会科学总论
1544-1709	临床医学
1286-4560	植物学与动物学
1593-5213	地球科学
0260-3055	地球科学
0232-704X	数学
0939-5555	临床医学
0301-4460	生物学与生物化学
0003-4800	分子生物学与遗传学
0003-4819	临床医学
1012-2443	工程学
0003-486X	数学
0785-3890	临床医学
1590-4261	微生物学
0364-5134	神经系统学与行为学
1082-720X	临床医学
0306-4549	工程学
0914-7187	临床医学
0250-6807	临床医学
0003-4878	药理学和毒理学
0923-7534	临床医学
0254-5330	工程学
0003-4894	临床医学
1060-0280	药理学和毒理学
0003-4916	物理学
0148-7043	临床医学
0091-1798	数学
0168-0072	数学
0570-1864	社会科学总论
0256-4947	临床医学
0003-3790	社会科学总论
0090-5364	数学
0003-4932	临床医学
1068-9265	临床医学
0002-7162	社会科学总论
0004-5608	社会科学总论
0013-8746	植物学与动物学
0020-3157	数学
0026-6493	植物学与动物学
0003-4967	临床医学
0035-8843	临床医学
0003-4975	临床医学
0160-7383	社会科学总论
0890-5096	临床医学
0003-5033	精神病学与心理学
1367-5788	工程学
0954-1020	环境科学与生态学
0003-5491	社会科学总论
0918-7960	植物学与动物学
0003-5521	社会科学总论
0003-5548	社会科学总论
0161-7761	社会科学总论
0257-9774	社会科学总论
0761-3032	社会科学总论
0892-7936	社会科学总论
0959-4973	药理学和毒理学
0003-5599	材料科学
0250-7005	临床医学
0066-4804	药理学和毒理学
1523-0864	生物学与生物化学
0066-4812	社会科学总论
0003-598X	社会科学总论
0003-6056	社会科学总论
0166-3542	药理学和毒理学
1359-6535	药理学和毒理学
0003-6072	微生物学
1061-5806	精神病学与心理学
1445-1433	临床医学
1446-1811	数学
0268-7038	神经系统学与行为学
0044-8435	植物学与动物学
2166-532X	材料科学
0903-4641	分子生物学与遗传学
1360-8185	分子生物学与遗传学
0195-6663	神经系统学与行为学
1038-6807	材料科学
0938-1279	数学
0003-6811	数学
0003-682X	物理学
1063-5203	数学
0099-2240	生物学与生物化学
0168-1591	植物学与动物学
0883-9514	工程学
0273-2289	生物学与生物化学
0003-6838	生物学与生物化学
0926-860X	化学
0926-3373	化学
0927-2852	数学
0169-1317	地球科学
0888-4080	精神病学与心理学
0929-189X	材料科学
1054-4887	工程学
1589-1623	环境科学与生态学
1350-4851	经济与商业
0003-6846	经济与商业
0306-2619	工程学
0883-8542	农业科学
0003-6862	植物学与动物学
0003-6870	工程学
0883-2927	地球科学
0143-6228	社会科学总论
1541-2016	生物学与生物化学
0924-669X	工程学
0142-6001	社会科学总论
0937-9347	化学
0307-904X	工程学
0096-3003	数学
0253-4827	工程学
0095-4616	数学
0893-9659	数学
0895-7347	社会科学总论
0175-7598	生物学与生物化学
0168-9274	数学
0897-1897	临床医学
0141-1187	工程学
1559-128X	物理学
0268-2605	化学
0947-8396	物理学
0946-2171	物理学
0003-6951	物理学
0142-7164	精神病学与心理学
0146-6216	精神病学与心理学
0269-994X	精神病学与心理学
1090-0586	精神病学与心理学
0969-8043	物理学
1430-6395	物理学
1568-4946	计算机科学
0929-1393	农业科学
0570-4928	化学
0003-7028	化学
1524-1904	经济与商业
0169-4332	材料科学
1359-4311	工程学
1402-2001	植物学与动物学
0144-8609	植物学与动物学
1365-7305	植物学与动物学
0967-6120	植物学与动物学
1353-5773	植物学与动物学
1355-557X	植物学与动物学
0044-8486	植物学与动物学
0304-3770	植物学与动物学
1052-7613	环境科学与生态学
1386-2588	环境科学与生态学
1463-4988	环境科学与生态学
1380-6165	地球科学
0165-0424	植物学与动物学
0990-7440	植物学与动物学
0167-5427	植物学与动物学
0948-3055	植物学与动物学
1015-1621	植物学与动物学
0166-445X	植物学与动物学
1319-8025	工程学
1472-3646	微生物学
0003-8121	社会科学总论
0003-813X	地球科学
0003-889X	数学
0365-6233	药理学和毒理学
1869-0963	植物学与动物学
0003-9438	植物学与动物学
0003-9519	社会科学总论
0933-5846	数学
0003-9527	工程学
0939-1533	工程学
0929-693X	临床医学
0003-9756	社会科学总论
0003-9829	神经系统学与行为学
1745-039X	植物学与动物学
0003-9861	生物学与生物化学
0887-6177	精神病学与心理学
1134-3060	工程学
0340-3696	临床医学
0003-9888	临床医学
0090-4341	环境科学与生态学
0167-4943	临床医学
0932-0067	临床医学
0739-4462	植物学与动物学
0373-2029	工程学
0188-4409	临床医学
1733-3490	材料科学
0302-8933	微生物学
0260-9541	环境科学与生态学
0003-9969	临床医学
0936-8051	临床医学
0003-9985	临床医学
0253-6269	药理学和毒理学
0003-9993	临床医学
1381-3455	生物学与生物化学
0883-9417	精神病学与心理学
0004-0002	精神病学与心理学
1381-1118	精神病学与心理学
0340-5761	药理学和毒理学
0304-8608	微生物学
0300-2896	临床医学
0301-732X	植物学与动物学
0004-0614	临床医学
0004-0622	农业科学
0004-069X	免疫学
1523-0430	环境科学与生态学
0066-6939	社会科学总论
0004-0843	环境科学与生态学
0373-2266	植物学与动物学
0570-7358	植物学与动物学
0004-0894	社会科学总论
1532-4982	环境科学与生态学
0004-2080	数学
1551-7004	化学
0095-327X	社会科学总论
0102-0935	植物学与动物学
0004-2749	临床医学
1809-5267	精神病学与心理学
0004-282X	神经系统学与行为学
0381-7032	数学
1855-3966	数学
1079-5642	临床医学
2151-464X	临床医学
1478-6354	临床医学
1467-8039	植物学与动物学
